hour,pv_generation_kw,pv_curtailment_kw,flexible_load_kw,grid_import_kw,grid_export_kw,energy_price_dkk_kwh,hourly_cost_dkk,pv_self_consumption_kw
0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0
5,0.15000000000000002,0.0,0.15000000000000002,0.0,0.0,1.01,0.0,0.15000000000000002
6,0.42000000000000004,0.0,0.10999999999999976,0.0,0.3100000000000003,1.05,-0.20150000000000018,0.10999999999999976
7,0.63,0.0,0.0,0.0,0.63,1.2,-0.504,0.0
8,0.44999999999999996,0.0,0.0,0.0,0.44999999999999996,1.4,-0.4499999999999999,0.0
9,0.36,0.0,0.0,0.0,0.36,1.6,-0.43200000000000005,0.0
10,0.63,0.0,0.0,0.0,0.63,1.5,-0.6930000000000001,0.0
11,0.75,0.0,0.0,0.0,0.75,1.1,-0.525,0.0
12,2.55,0.0,2.55,0.0,0.0,1.05,0.0,2.55
13,2.25,0.0,2.25,0.0,0.0,1.0,0.0,2.25
14,1.6500000000000001,0.0,1.6500000000000001,0.0,0.0,0.95,0.0,1.6500000000000001
15,1.29,0.0,1.29,0.0,0.0,1.0,0.0,1.29
16,0.6900000000000001,0.0,0.0,0.0,0.6900000000000001,1.2,-0.552,0.0
17,0.15000000000000002,0.0,0.0,0.0,0.15000000000000002,1.5,-0.16500000000000004,0.0
18,0.75,0.0,0.0,0.0,0.75,2.1,-1.2750000000000001,0.0
19,0.75,0.0,0.0,0.0,0.75,2.5,-1.5750000000000002,0.0
20,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0
